Line,Timestamp,Passengers,Gone_up,Went_down
11,1543130769,0,0,0
11,1543130804,0,0,0
11,1543130832,0,0,0
11,1543130852,0,0,0
11,1543130880,0,0,0
11,1543130924,2,2,0
11,1543131082,7,5,0
11,1543131120,7,0,0
11,1543131159,7,0,0
11,1543131216,7,0,0
11,1543131240,7,0,0
11,1543131279,9,2,0
11,1543131322,10,1,0
11,1543131355,10,0,0
11,1543131420,10,0,0
11,1543131480,13,3,0
11,1543131529,13,0,0
11,1543131573,13,0,0
11,1543131605,13,0,0
11,1543131720,13,1,1
11,1543131780,13,0,0
11,1543131900,15,3,1
11,1543131960,15,0,0
11,1543132084,14,0,1
11,1543132140,14,0,0
11,1543132200,3,1,12
11,1543132392,3,0,0
11,1543132444,3,0,0
11,1543132500,6,3,0
11,1543132590,4,0,2
11,1543132620,4,0,0
11,1543132666,4,0,0
11,1543132740,4,0,0
11,1543132773,4,0,0
11,1543132808,4,0,0
11,1543132832,4,0,0
11,1543132906,4,0,0
11,1543132943,4,0,0
11,1543132980,0,0,4
11,1543133010,0,0,0
11,1543133032,0,0,0
11,1543133052,0,0,0
11,1543133074,0,0,0
11,1543133103,0,0,0
11,1543133132,0,0,0
11,1543133160,0,0,0
11,1543134180,1,1,0
11,1543134216,1,0,0
11,1543134240,3,2,0
11,1543134270,3,0,0
11,1543134291,3,0,0
11,1543134319,4,1,0
11,1543134342,4,0,0
11,1543134360,4,0,0
11,1543134396,4,0,0
11,1543134421,4,0,0
11,1543134439,4,0,0
11,1543134517,6,2,0
11,1543134559,6,0,0
11,1543134581,8,2,0
11,1543134632,10,2,0
11,1543134660,11,1,0
11,1543134699,11,0,0
11,1543134720,10,0,1
11,1543134739,10,0,0
11,1543134840,11,1,0
11,1543134887,12,2,1
11,1543135140,11,3,4
11,1543135200,11,0,0
11,1543135286,11,0,0
11,1543135380,11,0,0
11,1543135440,9,1,3
11,1543135560,9,0,0
11,1543135620,9,2,2
11,1543135681,10,1,0
11,1543135723,10,0,0
11,1543135747,10,0,0
11,1543135791,11,2,1
11,1543135838,11,0,0
11,1543135860,11,0,0
11,1543135903,9,0,2
11,1543135939,9,0,0
11,1543135980,9,0,0
11,1543136027,8,0,1
11,1543136074,8,0,0
11,1543136113,8,0,0
11,1543136135,8,0,0
11,1543136280,8,0,0
11,1543136403,2,0,6
11,1543136460,2,0,0
11,1543136520,1,0,1
11,1543136545,1,0,0
11,1543136590,1,0,0
11,1543136640,0,0,1
11,1543137000,1,1,0
